姓氏,姓名,主要稱謂,主要單位,性別,其他頭銜,貴賓介紹,照片URL,標籤
黃,敏惠,市長,嘉義市政府,女,博士,嘉義市第10屆市長，致力於推動城市發展與市民福祉,,市府首長;VIP;重要貴賓
李,銘順,副市長,嘉義市政府,男,,嘉義市政府副市長，協助市長處理市政事務,,市府首長;重要貴賓
林,青萍,秘書長,嘉義市政府,女,,嘉義市政府秘書長，負責綜合規劃及督導考核業務,,市府主管
張,志成,民政處長,嘉義市政府民政處,男,,負責民政業務，包括戶政、地政及宗教禮俗等事務,,市府主管
陳,淑芬,社會處長,嘉義市政府社會處,女,社工師,負責社會福利、社會救助及婦女福利等業務,,市府主管;社福專業
王,建國,財政處長,嘉義市政府財政處,男,會計師,負責市府財政規劃、預算編列及公產管理等業務,,市府主管;財政專業
吳,文華,教育處長,嘉義市政府教育處,女,博士,負責教育政策規劃、學校管理及體育推廣等業務,,市府主管;教育專業
劉,世雄,工務處長,嘉義市政府工務處,男,建築師,負責都市計畫、建築管理及工程建設等業務,,市府主管;工程專業
周,俊男,文化局長,嘉義市政府文化局,男,博士,負責文化資產保存、藝文推廣及圖書館管理等業務,,市府主管;文化專業
楊,芳玲,環境保護局長,嘉義市政府環境保護局,女,環境工程師,負責環境保護、清潔衛生及垃圾處理等業務,,市府主管;環保專業
