姓氏,名字,主要稱謂,主要單位,性別,其他頭銜,照片URL,貴賓介紹,介紹紀錄
黃,敏惠,市長,嘉義市政府,female,第10屆市長,,嘉義市第10屆市長，致力於推動城市發展與市民福祉,黃敏惠市長長期深耕嘉義，帶領市政團隊為市民服務
陳,艾倫,副市長,嘉義市政府,male,,,副市長負責協助市長處理市政事務，統籌各局處業務,陳副市長擁有豐富的行政經驗，是市長的重要夥伴
王,志誠,秘書長,嘉義市政府,male,,,秘書長負責市府幕僚作業及跨局處協調,王秘書長協調市府各單位運作，確保政策順利推動
林,淑華,民政處處長,嘉義市政府民政處,female,,,民政處掌理自治行政、宗教禮俗、選舉等業務,林處長致力於推動基層民政工作，服務市民
張,建國,財政處處長,嘉義市政府財政處,male,,,財政處負責市庫管理、稅務及公產管理,張處長嚴謹管理市府財政，確保收支平衡
陳,美玲,教育處處長,嘉義市政府教育處,female,,,教育處推動各級學校教育及終身學習,陳處長推動教育創新，提升嘉義市教育品質
李,志明,工務處處長,嘉義市政府工務處,male,,,工務處負責市政建設、道路養護及都市計畫,李處長督導各項公共工程，改善市容環境
劉,淑芬,社會處處長,嘉義市政府社會處,female,,,社會處辦理社會福利、社會救助等業務,劉處長關懷弱勢族群，推動各項社福政策
楊,文龍,警察局局長,嘉義市政府警察局,male,,,警察局維護治安，保障市民安全,楊局長帶領警察同仁守護嘉義市治安，深獲市民信賴
吳,志強,消防局局長,嘉義市政府消防局,male,,,消防局負責消防、救災及緊急救護,吳局長帶領消防弟兄救災救護，守護市民生命財產安全
